id;building;year;groundArea;area;gml_id;retrofit
0;AB;1900.0;820.15576171875;6561.24609375;DEBE3D04YY50000BlO;0
1;AB;1905.0;687.7060546875;6189.3544921875;DEBE3D04YY50000Rac;0
2;IWU Transport;1905.0;23.834472520795977;15.254062413309425;DEBE3D04YY50000DCT;0
3;AB;1905.0;196.16528171173795;1569.3222536939036;DEBE3D04YY50000Lev;0
4;AB;1905.0;271.3229979995101;2401.0651851205907;DEBE3D04YY500002JB;0
5;AB;1955.0;356.726806640625;2497.087646484375;DEBE3D04YY5000035o;0
6;AB;1905.0;369.66748046875;2957.33984375;DEBE3D04YY50000Neh;0
7;IWU Transport;1905.0;58.4228515625;37.390625;DEBE3D04YY50000R2f;0
8;IWU Technical and Utility (supply and disposal);1905.0;7.447753501898215;6.032680336537554;DEBE3D04YY50000IyF;0
9;AB;1905.0;190.988525390625;1336.919677734375;DEBE3D04YY500002ZF;0
10;AB;1905.0;407.50390625;3260.03125;DEBE3D04YY50000AcP;0
11;AB;1905.0;261.845703125;2094.765625;DEBE3D04YY50000GXe;0
12;IWU Trade Buildings;1905.0;40.142578125;32.1140625;DEBE3D04YY500005l3;0
13;AB;1905.0;554.66015625;4437.28125;DEBE3D04YY50000Ct5;0
14;SFH;1905.0;24.537109375;220.833984375;DEBE3D00YY1Y50004P;0
15;AB;1905.0;184.55614267474573;1107.3368560484744;DEBE3D04YY50000Peo;0
16;AB;1905.0;561.47802734375;4972.502685546875;DEBE3D04YY50000Ncz;0
17;AB;1905.0;808.848388671875;6470.787109375;DEBE3D04YY500005Oq;0
18;IWU Culture and Leisure;1905.0;374.500732421875;1804.8774121093752;DEBE3D04YY500001GY;0
19;AB;1955.0;759.868408203125;6078.947265625;DEBE3D04YY50000GZe;0
20;AB;1955.0;410.34643014882516;2805.9455190174867;DEBE3D04YY50000CMU;0
21;AB;1900.0;749.264892578125;6449.2451171875;DEBE3D04YY50000QXO;0
22;AB;1905.0;325.402099609375;2603.216796875;DEBE3D04YY500005Lc;0
23;AB;1905.0;199.642822265625;1197.85693359375;DEBE3D04YY50000HML;0
24;AB;1905.0;566.803955078125;4264.568115234375;DEBE3D04YY50000RXk;0
25;AB;1905.0;582.418701171875;5241.768310546875;DEBE3D04YY50000Cyx;0
26;AB;1905.0;598.118408203125;5021.97705078125;DEBE3D04YY500008VN;0
27;AB;1905.0;186.747802734375;1120.48681640625;DEBE3D04YY500000uD;0
28;AB;1905.0;342.8271484375;2682.009765625;DEBE3D04YY50000JUQ;0
29;AB;1905.0;582.0720214677539;2942.1660155086524;DEBE3D04YY50000Jzy;0
30;TH;1905.0;88.877197265625;88.877197265625;DEBE3D04YY50002bng;0
31;AB;1905.0;582.4716797028365;4659.773437622692;DEBE3D04YY50000PNl;0
32;AB;1955.0;729.186718555895;5104.307029891265;DEBE3D04YY500008AI;0
33;AB;1905.0;869.429443359375;7777.295166015625;DEBE3D04YY50000G12;0
34;AB;1955.0;277.300048828125;1999.238525390625;DEBE3D04YY50000PyU;0
35;IWU Sports Facilities;1905.0;4019.484619140625;17157.581877441407;DEBE3D04YY50000IeR;0
36;TH;1905.0;12.758789067043429;12.758789067043429;DEBE3D04YY500005Xu;0
37;TH;1905.0;108.77685531594584;108.77685531594584;DEBE3D04YY50000Lg8;0
38;AB;1905.0;413.30908203125;2893.16357421875;DEBE3D04YY500008pH;0
39;IWU Health and Care;1905.0;287.2482950679939;1902.1453359322752;DEBE3D04YY500003I0;0
40;AB;1905.0;1046.439453125;8371.515625;DEBE3D04YY50000IJD;0
41;SFH;1905.0;24.8212890625;148.927734375;DEBE3D04YY50002ceG;0
42;AB;1905.0;268.874755859375;1264.522216796875;DEBE3D00YY1Ha0003w;0
43;AB;1900.0;459.62130798736075;3397.585698273886;DEBE3D04YY50000PO8;0
44;AB;1905.0;599.819069059199;4792.675622086269;DEBE3D04YY5000058C;0
45;AB;1905.0;580.897705078125;5228.079345703125;DEBE3D04YY500007Wv;0
46;AB;1905.0;236.73779296875;1893.90234375;DEBE3D04YY500005a4;0
